                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.7686,                0.46482,                0.89421,                0.95028,                0.92404,                0.96562,                0.78534,                0.67753,                0.38457,                0.86929,              0.0006535,              0.0006535,              0.0006535
                     37,                0.76755,                0.46394,                0.89234,                0.95202,                0.92443,                  0.967,                0.79115,                0.66443,                0.37603,                0.86544,              0.0006436,              0.0006436,              0.0006436
                     38,                0.76604,                0.46012,                0.89094,                0.97019,                0.91592,                 0.9683,                0.79814,                0.65973,                0.37388,                0.86495,              0.0006337,              0.0006337,              0.0006337
                     39,                 0.7507,                0.45339,                0.88408,                0.95486,                 0.9201,                0.96758,                0.79159,                0.65881,                0.37301,                0.86365,              0.0006238,              0.0006238,              0.0006238
                     40,                0.75543,                0.45577,                0.88766,                0.96252,                0.91793,                0.96763,                0.79768,                0.66025,                0.37568,                0.86386,              0.0006139,              0.0006139,              0.0006139
                     41,                0.74551,                0.44891,                0.88547,                0.96652,                 0.9217,                0.96916,                0.80049,                0.65674,                0.37009,                0.86375,               0.000604,               0.000604,               0.000604
                     42,                 0.7514,                0.45515,                0.88705,                 0.9619,                0.92945,                0.96982,                 0.7999,                0.65542,                0.36858,                0.86294,              0.0005941,              0.0005941,              0.0005941
                     43,                 0.7398,                0.44378,                0.88131,                0.95291,                0.92943,                0.97042,                0.79887,                0.65579,                0.36667,                0.86337,              0.0005842,              0.0005842,              0.0005842
                     44,                 0.7439,                0.44756,                0.88554,                0.96187,                0.92642,                0.96936,                0.80347,                0.64701,                0.36161,                0.85985,              0.0005743,              0.0005743,              0.0005743
                     45,                0.73285,                0.44064,                0.87932,                0.96272,                0.92902,                0.97044,                0.80342,                 0.6481,                0.36236,                0.86134,              0.0005644,              0.0005644,              0.0005644
                     46,                0.72911,                0.43879,                 0.8791,                0.95706,                0.92824,                0.97038,                0.81005,                0.64011,                0.35722,                0.85924,              0.0005545,              0.0005545,              0.0005545
                     47,                0.72644,                0.43592,                0.87935,                 0.9659,                0.92976,                0.97096,                0.80895,                0.63619,                0.35792,                0.85783,              0.0005446,              0.0005446,              0.0005446
                     48,                0.72079,                 0.4331,                0.87715,                0.96524,                0.93109,                0.97299,                0.81516,                0.63389,                0.35759,                0.85713,              0.0005347,              0.0005347,              0.0005347
                     49,                0.71552,                 0.4284,                0.87654,                0.96891,                0.92895,                0.97211,                0.81636,                0.62681,                0.35081,                0.85624,              0.0005248,              0.0005248,              0.0005248
                     50,                0.71072,                0.42705,                0.87527,                0.97422,                0.92374,                0.97198,                0.81791,                0.62625,                0.35091,                0.85704,              0.0005149,              0.0005149,              0.0005149
                     51,                0.71198,                0.42557,                0.87508,                0.97104,                  0.926,                0.97389,                 0.8164,                0.62824,                0.35089,                0.85693,               0.000505,               0.000505,               0.000505
                     52,                0.70507,                0.42406,                0.87429,                0.96639,                0.93352,                0.97295,                0.81746,                0.62277,                0.34867,                0.85422,              0.0004951,              0.0004951,              0.0004951
                     53,                0.70766,                0.42647,                0.87425,                0.96345,                0.93875,                0.97479,                0.82231,                0.61878,                0.34596,                0.85279,              0.0004852,              0.0004852,              0.0004852
                     54,                0.70063,                0.42013,                0.87251,                0.96757,                0.93185,                0.97397,                0.81938,                0.62011,                0.34407,                0.85423,              0.0004753,              0.0004753,              0.0004753
                     55,                0.69999,                0.41753,                0.87153,                0.96973,                0.93377,                0.97453,                0.82427,                0.61607,                0.34377,                0.85285,              0.0004654,              0.0004654,              0.0004654
                     56,                0.69189,                0.41392,                0.86968,                0.96985,                0.93314,                0.97527,                0.82437,                0.61383,                0.34156,                0.85343,              0.0004555,              0.0004555,              0.0004555
                     57,                0.68222,                0.40885,                0.86921,                0.96973,                0.93662,                0.97444,                0.82567,                0.60858,                0.33988,                0.85107,              0.0004456,              0.0004456,              0.0004456
                     58,                0.68787,                0.41403,                0.86979,                 0.9698,                0.93651,                0.97573,                0.82888,                0.60891,                0.33727,                0.85097,              0.0004357,              0.0004357,              0.0004357
                     59,                0.68767,                0.41063,                0.86968,                0.97107,                0.93885,                0.97433,                0.82751,                0.60607,                 0.3364,                0.85107,              0.0004258,              0.0004258,              0.0004258
                     60,                0.68129,                 0.4064,                0.86649,                0.96222,                0.94384,                0.97596,                0.82709,                 0.6065,                0.33446,                0.85069,              0.0004159,              0.0004159,              0.0004159
                     61,                0.68228,                0.40763,                0.86693,                0.96831,                0.94109,                0.97598,                0.83078,                0.60108,                 0.3332,                0.84855,               0.000406,               0.000406,               0.000406
                     62,                0.67767,                0.40498,                0.86662,                0.97196,                0.93356,                0.97671,                0.83325,                0.59777,                0.33141,                0.84815,              0.0003961,              0.0003961,              0.0003961
                     63,                0.67099,                0.40022,                 0.8633,                 0.9672,                0.94401,                0.97713,                0.83282,                0.59816,                0.33006,                0.84822,              0.0003862,              0.0003862,              0.0003862
                     64,                 0.6747,                0.40236,                0.86708,                0.96392,                0.94302,                0.97709,                0.83311,                0.59435,                 0.3283,                0.84651,              0.0003763,              0.0003763,              0.0003763
                     65,                  0.665,                0.39668,                0.86234,                0.97405,                0.93775,                0.97673,                0.83035,                0.59638,                 0.3306,                0.84845,              0.0003664,              0.0003664,              0.0003664
